Date,Open,High,Low,Close,Volume,Adj Close
2008-07-28,15.28,15.94,15.20,16.18,1800,16.18
2008-07-21,15.70,15.77,15.40,15.50,3200,15.50
2008-07-14,15.14,15.72,14.93,15.67,2500,15.67
2008-07-07,15.07,15.44,15.07,14.90,1900,14.90
2008-06-30,15.02,15.31,14.80,15.39,1800,15.39
2008-06-23,14.80,15.19,14.22,14.96,1700,14.96
2008-06-16,15.45,15.51,14.87,14.83,2100,14.83
2008-06-10,14.50,16.30,14.50,15.64,2400,15.64
2008-06-02,26.87,27.10,26.03,26.80,5900,26.80
2008-05-26,24.58,27.69,24.58,27.71,3200,27.71
2008-05-19,24.85,25.02,24.26,24.53,2900,24.53
2008-05-12,24.24,25.00,24.18,24.67,1500,24.67
2008-05-05,23.53,24.70,23.28,24.28,2900,24.28
2008-04-28,23.36,23.81,23.00,24.05,1800,24.05
2008-04-21,22.75,23.76,22.61,23.12,1100,23.12
2008-04-14,23.53,23.53,22.80,23.12,1700,23.12
2008-04-07,24.79,25.08,23.57,23.71,2200,23.71
2008-03-31,23.40,25.00,23.40,24.94,2000,24.94
2008-03-25,23.36,23.75,22.89,23.39,1800,23.39
2008-03-18,21.98,22.98,21.98,22.37,900,22.21
2008-03-10,21.50,22.88,20.00,22.22,3800,22.07
2008-03-03,22.03,22.58,21.27,21.65,1300,21.50
2008-02-25,22.70,23.25,22.68,22.32,3000,22.16
2008-02-18,23.04,23.17,22.21,22.28,1000,22.13
2008-02-11,23.54,23.98,23.22,22.68,1600,22.52
2008-02-04,24.87,25.17,23.79,23.98,1800,23.81
2008-01-28,22.94,24.69,22.83,24.61,4000,24.44
2008-01-21,22.72,23.25,21.17,22.84,5800,22.68
2008-01-14,24.48,24.51,22.21,22.21,4800,22.06
2008-01-07,24.24,24.81,24.08,24.76,2300,24.59
2008-01-02,25.32,25.32,24.39,24.11,4300,23.94
2007-12-27,25.96,26.10,25.25,25.48,2900,25.30
2007-12-17,25.10,25.31,24.31,25.43,5100,25.25
2007-12-10,26.27,26.35,24.51,25.16,2500,24.87
2007-12-03,25.41,26.73,24.76,26.44,8500,26.14
2007-11-26,23.82,24.79,22.10,23.70,8300,23.43
2007-11-19,24.70,24.70,23.14,23.67,2500,23.40
2007-11-12,22.03,25.94,21.52,24.73,6100,24.45
2007-11-05,24.41,24.64,21.95,21.82,3900,21.57
2007-10-29,26.47,26.73,24.44,24.38,2800,24.10
2007-10-22,25.62,26.83,25.62,26.13,4300,25.83
2007-10-15,26.16,26.80,25.56,26.33,3600,26.03
2007-10-08,26.20,26.36,25.62,26.23,2100,25.93
2007-10-01,23.33,25.80,23.33,26.15,1700,25.85
2007-09-24,22.60,23.51,22.56,23.07,3500,22.81
2007-09-17,25.50,25.50,23.30,23.22,2600,22.96
2007-09-10,25.83,26.45,25.24,25.30,2400,24.90
2007-09-03,26.00,26.63,25.60,25.44,2400,25.04
2007-08-27,25.67,26.50,24.50,25.55,4500,25.15
2007-08-20,24.20,25.45,23.68,25.15,3900,24.75
2007-08-13,24.09,24.76,22.80,23.18,4400,22.81
2007-08-06,23.99,24.78,23.10,23.71,2300,23.34
2007-07-30,25.11,25.45,24.52,24.38,2600,24.00
2007-07-23,26.00,26.61,23.86,24.30,6300,23.92
2007-07-16,28.00,28.14,26.45,26.30,2000,25.88
2007-07-09,30.00,30.35,27.62,28.14,3000,27.70
2007-07-02,28.05,30.05,27.71,30.00,4500,29.53
2007-06-25,28.39,28.64,27.62,28.59,4600,28.14
2007-06-18,30.02,30.02,27.90,27.98,7300,27.54
2007-06-11,29.40,30.14,28.86,29.88,5500,29.30
2007-06-04,30.41,30.99,28.66,29.22,5100,28.65
2007-05-28,30.55,30.83,29.78,30.43,4400,29.84
2007-05-21,28.70,31.91,28.34,30.61,6500,30.01
2007-05-14,27.36,28.29,26.30,28.29,5500,27.74
2007-05-07,26.34,27.57,25.95,27.26,3500,26.73
2007-04-30,25.86,26.55,25.16,26.55,4600,26.03
2007-04-23,25.86,26.25,25.27,25.72,4000,25.22
2007-04-16,26.16,26.37,25.51,25.77,4000,25.27
2007-04-10,27.41,27.41,24.50,26.27,6900,25.76
2007-04-02,24.70,26.95,24.70,26.80,8400,26.28
2007-03-26,24.11,25.36,23.69,24.95,5300,24.46
2007-03-19,22.74,24.23,21.99,24.15,7100,23.68
2007-03-12,23.26,23.87,22.02,22.26,6100,21.73
2007-03-05,21.90,23.17,21.50,23.10,9000,22.44
2007-02-26,23.34,23.90,21.30,22.15,8300,21.52
2007-02-20,24.11,24.11,23.20,23.20,4300,22.54
2007-02-12,23.82,23.90,22.30,23.70,5100,23.03
2007-02-05,23.94,24.35,23.50,23.85,4600,23.17
2007-01-29,22.10,24.25,22.10,23.87,6600,23.19
2007-01-22,20.95,21.69,20.77,21.68,3600,21.06
2007-01-15,20.90,21.10,20.65,20.90,9600,20.31
2007-01-08,21.20,21.20,19.90,20.60,5000,20.01
2007-01-02,21.19,21.88,20.96,21.40,5100,20.79
2006-12-27,20.90,21.39,20.90,21.39,3500,20.78
2006-12-18,21.07,21.45,20.76,20.85,3800,20.26
2006-12-11,21.40,21.47,21.00,21.27,3900,20.57
2006-12-04,19.60,21.21,19.60,21.15,4900,20.45
2006-11-27,20.14,20.14,19.50,19.63,4300,18.98
2006-11-20,20.84,20.84,20.22,20.36,4200,19.69
2006-11-13,20.47,21.05,20.45,20.60,6300,19.92
2006-11-06,20.68,21.21,20.32,20.32,5400,19.65
2006-10-30,21.22,21.25,20.35,20.35,15100,19.68
2006-10-23,21.52,22.03,20.35,21.39,9400,20.68
2006-10-16,21.80,21.90,19.91,21.19,7300,20.49
2006-10-09,20.30,21.80,19.40,21.77,5400,21.05
2006-10-02,20.00,20.39,19.30,20.20,5900,19.53
2006-09-25,19.12,20.31,18.90,20.30,10300,19.63
2006-09-18,19.18,19.78,18.70,18.75,6100,18.13
2006-09-11,19.06,19.36,18.92,19.36,4200,18.62
2006-09-04,19.10,19.78,18.92,19.37,2800,18.63
2006-08-28,18.93,19.49,18.93,19.14,4100,18.41
2006-08-21,18.50,18.93,18.34,18.83,6600,18.11
2006-08-14,19.16,19.16,18.51,18.75,3900,18.03
2006-08-07,19.42,19.42,18.50,18.90,5400,18.18
2006-07-31,18.63,19.59,18.11,19.56,5000,18.81
2006-07-24,17.96,18.97,17.96,18.71,13000,18.00
2006-07-17,16.75,18.81,16.60,17.73,5800,17.05
2006-07-10,17.08,17.08,16.16,16.32,6300,15.70
2006-07-03,16.56,17.43,15.90,16.70,10800,16.06
2006-06-26,15.80,16.30,15.43,16.27,5700,15.65
2006-06-19,15.62,15.94,15.07,15.65,9300,15.05
2006-06-12,15.10,15.40,14.12,14.28,10900,13.73
2006-06-05,16.05,16.05,15.05,15.35,5300,14.76
2006-05-29,16.95,17.03,15.40,15.90,5700,15.29
2006-05-22,17.00,17.24,15.85,16.79,11000,16.05
2006-05-15,17.40,18.12,17.00,17.10,6200,16.35
2006-05-08,17.85,18.46,17.40,17.45,5000,16.68
2006-05-01,17.49,18.50,17.25,18.30,6200,17.49
2006-04-24,17.33,17.70,16.95,17.49,5600,16.72
2006-04-17,17.62,17.62,16.90,17.16,3500,16.40
2006-04-10,18.43,18.47,17.62,17.62,3000,16.84
2006-04-03,18.50,18.87,18.33,18.50,3100,17.68
2006-03-27,19.53,19.59,18.40,18.61,3700,17.79
2006-03-20,18.73,19.55,18.60,19.45,9200,18.59
2006-03-13,18.85,19.32,18.65,18.65,3500,17.83
2006-03-06,19.20,19.60,18.55,18.85,18500,18.02
2006-02-27,19.19,19.40,18.60,19.07,4800,18.23
2006-02-20,19.24,19.43,18.87,19.02,5300,18.18
2006-02-13,18.64,19.55,18.42,19.38,7100,18.53
2006-02-06,19.57,19.67,18.36,18.53,10300,17.71
2006-01-30,19.91,20.16,18.89,19.28,7300,18.43
2006-01-23,19.22,20.20,19.18,20.10,2900,19.21
2006-01-16,20.66,20.78,19.75,19.95,3900,19.07
2006-01-09,21.50,21.60,20.48,20.48,4300,19.58
2006-01-02,21.01,23.22,21.00,21.47,7500,20.52
2005-12-26,20.51,21.70,19.74,21.70,9200,20.74
2005-12-19,19.85,20.69,19.85,20.51,3000,19.61
2005-12-12,19.55,20.30,19.30,19.77,3500,18.90
2005-12-05,19.85,20.19,18.21,19.40,6800,18.55
2005-11-28,19.71,19.98,18.95,19.55,5700,18.69
2005-11-21,17.74,19.83,17.74,19.83,3500,18.96
2005-11-14,17.90,18.30,17.78,18.05,6200,17.25
2005-11-07,17.40,18.10,17.40,18.02,5500,17.23
2005-10-31,16.37,17.34,16.37,17.20,4900,16.44
2005-10-24,16.55,17.09,16.12,16.27,3700,15.55
2005-10-17,16.70,17.39,16.20,16.20,3300,15.49
2005-10-10,17.28,17.35,16.65,16.65,4900,15.92
2005-10-03,17.65,18.15,16.75,16.91,3800,16.16
2005-09-26,16.44,17.21,16.44,17.21,4300,16.45
2005-09-19,15.90,16.50,15.90,16.44,5000,15.72
2005-09-12,15.92,16.25,15.85,15.99,3000,15.29
2005-09-05,15.46,16.09,15.19,15.80,5400,15.10
2005-08-29,15.64,15.83,15.00,15.07,4500,14.41
2005-08-22,15.90,15.96,15.41,15.54,3700,14.86
2005-08-15,15.47,15.90,15.47,15.90,3100,15.20
2005-08-08,15.61,15.67,15.31,15.46,3700,14.78
2005-08-01,16.00,16.15,15.61,15.67,3600,14.98
2005-07-25,16.40,16.40,16.00,16.14,4300,15.43
2005-07-18,16.13,16.50,16.13,16.33,3000,15.61
2005-07-11,15.90,16.49,15.90,16.15,4400,15.44
2005-07-04,16.06,16.25,15.70,15.95,4400,15.25
2005-06-27,15.25,15.82,15.15,15.82,3800,15.12
2005-06-20,15.46,15.80,15.30,15.33,3600,14.65
2005-06-13,15.39,15.60,15.16,15.59,2800,14.90
2005-06-06,15.21,15.25,14.58,15.25,3000,14.58
2005-05-30,14.99,15.50,14.90,15.39,6100,14.71
2005-05-23,14.38,14.91,14.25,14.80,5800,14.15
2005-05-16,13.38,14.32,13.38,14.32,7200,13.69
2005-05-09,13.65,13.65,13.27,13.48,4700,12.88
2005-05-02,13.19,13.75,13.19,13.60,5000,13.00
2005-04-25,12.98,13.36,12.93,12.97,7300,12.39
2005-04-18,13.15,13.15,12.62,12.85,6600,12.29
2005-04-11,13.55,13.57,13.24,13.24,7900,12.66
2005-04-04,13.32,13.75,13.23,13.53,8300,12.94
2005-03-28,13.52,13.55,13.25,13.48,7700,12.88
